AbstractionError;TopLevelViolation Abstracted;topLevelViolationActualCentral;topLevelViolationActualRegioCentral;relativeTLViolationCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepCentral;runtimePerStepRegioCentral;runtimePerAvppPerStep;unsolvedCentralAllocations;Totalruntimecentral;Totalruntimeregiocentral;timestamps;Toplevelcostscentral;Toplevelcostsregiocentral;Rootcostsregiocentral;Longest serial path
4.547473508864641E-13;0.0;7.275957614183426E-12;293.64177209378977;4.2260979400259545E-16;0.017055610079568698;0.0;1.3015285374191167E-16;3.05728E-4;4.433967136000001;4.46586952;0.145763616;0.0;234.29044726400002;267.702740032;1.424671133873E12;2118.223169253993;2129.122017475192;2149.3393687474586;1.015358528E9
0.0;0.0;3.637978807091713E-12;0.0;2.1272307739357014E-16;0.0;0.0;0.0;2.99392E-4;3.598537728;4.832790512;0.869594912;0.0;74.347431376;222.837051408;1.424671636143E12;2050.089610356992;2084.8611505641584;2076.209423652972;9.64378112E8
293.64177209379136;0.0;0.0;1.8189894035458565E-12;0.0;1.1671430476590626E-16;0.0;0.16276449480390362;3.5340800000000004E-4;3.922509776;5.713089872;0.818614496;0.0;1031.920323136;262.55398544;1.424671933555E12;1783.8091694342786;1807.3542371054582;1800.2757737148916;1.564243536E9
0.0;0.0;1.8189894035458565E-11;6.002665031701326E-11;1.1509851349260986E-15;3.79825118559456E-15;0.0;0.0;3.4819200000000004E-4;4.019058848;4.313815920000001;1.41847992;0.0;111.425526128;283.06566889600003;1.424673228268E12;1823.527358869815;1846.1337197610958;1833.586260653645;4.48439024E8
0.0;0.0;1.8189894035458565E-12;0.0;1.1154550835173095E-16;0.0;0.0;0.0;3.5150400000000004E-4;1.836841584;4.1395791520000005;0.30267540800000003;0.0;177.741278144;451.910052672;1.424673622988E12;1908.9061242507255;1921.3681329975932;1919.0241456619397;9.59690048E8
0.0;0.0;3.637978807091713E-12;1.8189894035458565E-12;2.2604395405147276E-16;1.1302198404829961E-16;0.0;0.0;3.5953600000000004E-4;2.138114592;4.222089232;0.813926432;0.0;100.395712016;260.595192704;1.424674252865E12;1872.7635607872767;1884.2317313727967;1881.8079201908001;1.45763616E8
9.094947017729282E-13;1.8189894035458565E-12;2.7284841053187847E-11;0.0;1.7399296653253486E-15;0.0;1.1599531841860658E-16;1.756170701515639E-16;3.55072E-4;4.545838704;3.863650352;0.16538987200000002;0.0;129.20706483200001;267.42937040000004;1.424674614081E12;1801.041776123662;1810.7847671390305;1810.615506991024;9.62931056E8
0.0;1.8189894035458565E-12;1.8189894035458565E-12;1.8189894035458565E-12;1.2198126392382598E-16;1.21981272103879E-16;1.21981272103879E-16;0.0;3.44784E-4;5.171726704;4.26684456;0.7975411840000001;0.0;119.269736944;289.296995616;1.424675010952E12;1667.896552170837;1679.0282056550643;1680.5618597949388;1.270149232E9
0.0;1.8189894035458565E-12;1.8189894035458565E-12;1.8189894035458565E-12;1.2079883569866173E-16;1.207988437208963E-16;1.207988437208963E-16;0.0;3.2280000000000004E-4;13.366232976000001;4.413327312;1.10475936;0.0;153.684007376;272.425456832;1.424675419763E12;1692.1692242774989;1704.8570802617965;1705.2303013663054;1.563122624E9
0.0;1.8189894035458565E-12;1.8189894035458565E-12;1.8189894035458565E-12;1.1777313153733087E-16;1.1777313916272516E-16;1.1777313916272516E-16;0.0;3.0480000000000004E-4;4.141569936000001;4.079464384;1.397732752;0.0;127.87013403200001;270.52345430400004;1.424675846108E12;1758.9128474541085;1772.3671204627826;1770.6096055963126;3.6902072E8
