topLevelViolationActualCentral;relativeTLViolationCentral;runtimePerStepCentral;unsolvedCentralAllocations;Total runtime central;time stamps;Top level costs central
3.2014213502407074E-10;4.1557582945517304E-15;8.254015568;0.0;26.583527616;1.424259242794E12;9193.44228951524
4.3655745685100555E-11;5.704977022651439E-16;4.473788320000001;0.0;36.475192352;1.424259269486E12;9106.197719303902
7.275957614183426E-11;1.0433790185209363E-15;4.153463792;0.0;38.295977744000005;1.424259306052E12;7964.739931849658
2.9103830456733704E-11;4.115738234649389E-16;3.5069658880000003;0.0;43.831933728;1.424259344428E12;8127.539730247078
1.4551915228366852E-11;1.99434423173403E-16;6.18349976;0.0;30.530355648;1.424259388342E12;8504.428710998334
2.9103830456733704E-10;3.951452888701959E-15;4.341113696;0.0;49.010552288;1.424259418949E12;9418.937692366037
2.9103830456733704E-11;3.977973207626658E-16;5.189883792000001;0.0;31.751227200000002;1.424259468043E12;9334.575954190888
2.9103830456733704E-11;4.3651714259539395E-16;10.774875472000002;0.0;52.05498344;1.424259499867E12;8230.929017409657
1.4551915228366852E-11;2.1523701622145605E-16;6.314571888000001;0.0;36.105961648000005;1.424259551971E12;8389.456364238727
0.0;0.0;9.839221936000001;0.0;15.998090048000002;1.424259588147E12;8755.252463349478
2.6193447411060333E-10;3.746808242558359E-15;7.945125136000001;0.0;28.263595440000003;1.424259604231E12;9272.900348294374
1.4551915228366852E-11;2.0955306008462568E-16;15.90076896;0.0;41.813242784;1.42425963256E12;9191.949426637546
1.4551915228366852E-11;2.299500228618126E-16;7.196150784;0.0;55.720106448;1.424259674477E12;8131.2689150194265
2.1827872842550278E-11;3.4014991833155714E-16;3.5960753920000004;0.0;46.781591456;1.424259730279E12;8283.2397191022
2.9103830456733704E-11;4.3953299191443695E-16;3.648148608;0.0;56.247041792000005;1.424259777141E12;8634.599696362882
3.346940502524376E-10;3.926469774048882E-15;8.00458768;0.0;36.253765744;1.424259833441E12;11497.519445033055
1.4551915228366852E-11;1.7186184425849134E-16;10.490995360000001;0.0;69.49829688;1.424259869758E12;11400.116196688488
8.731149137020111E-11;1.1315406707108105E-15;8.002777504;0.0;40.410272208;1.424259939303E12;10123.532824662261
2.9103830456733704E-11;3.7195856920544174E-16;8.424384864;0.0;42.222398896;1.424259979769E12;10307.096832185085
5.820766091346741E-11;7.209529708790526E-16;8.89389616;0.0;48.140263536000006;1.424260022061E12;10729.617743323786
3.4924596548080444E-10;4.728610147042463E-15;13.856875328000001;0.0;412.526230864;1.424260070249E12;8691.929034404999
1.4551915228366852E-11;1.9834776604188848E-16;4.233446048;0.0;45.785735504;1.424260482823E12;8608.353365171963
1.4551915228366852E-11;2.1765405535438657E-16;4.443699120000001;0.0;46.446140784;1.424260528671E12;7507.60649709452
0.0;0.0;4.218470864;0.0;52.051318576;1.424260575175E12;7665.938124915568
1.4551915228366852E-11;2.080150655304224E-16;3.7632912480000003;0.0;45.829992912;1.424260627279E12;8030.572728983779
1.673470251262188E-10;2.723357384089629E-15;3.5640846720000003;0.0;29.039855952000003;1.424260673174E12;7700.383564016156
0.0;0.0;16.499309088;0.0;71.659907552;1.424260702283E12;7629.8799925987505
2.1827872842550278E-11;3.9241224520300412E-16;11.21865936;0.0;71.612923376;1.424260774012E12;6698.871001554569
1.4551915228366852E-11;2.5798647994305654E-16;9.179542752;0.0;71.585999136;1.424260845679E12;6833.025603279221
0.0;0.0;8.536355312000001;0.0;47.304770288;1.424260917329E12;7141.914897152354
